Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations,SourceCSV,Cluster
China_Vanke,2023,Vanke has long been committed to promoting green and low-carbon development and leading the industry.,2,This statement shows a high-level commitment to green and low-carbon development.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,Vanke has never ceased to explore green and low-carbon development.,2,This statement shows a high-level commitment to green and low-carbon development.,3,This statement acknowledges progress in exploring green and low-carbon development.,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,The Proportion of Property Green Building exceeded 48%,,,3,This statement acknowledges progress in achieving a specific target of green building proportion.,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,The Ratio of Housing Industrialisation Projects to New Construction Projects 90%,,,3,This statement acknowledges progress in achieving a specific target of housing industrialisation projects to new construction projects.,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"This report contains forward-looking statements, including but not limited to words or phrases, such as “will”, “expects”, “forecasts”, “future”, “aims”, “estimates”, “plans”, “believes”, “potential”, “continues”, “continuous”, “objective”, “purpose”, and “possible”.",2,This statement indicates a generic/high-level commitment to future sustainability efforts.,,,China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,We have proactively embraced policies for carbon peaking and carbon neutrality and aligned ourselves with the UN SDGs as we march towards sustainable development.,4,"The company has a forward-looking commitment to carbon neutrality, which aligns with the 'Net-Zero or Carbon-Neutral Target' category.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"In 2023, we continued to forge ahead in compliant operation and integrate sustainable development into every detail of our operations.",2,"The company has a high-level commitment to integrate sustainable development into their operations, which aligns with the 'Generic/High-Level Commitment' category.",3,"The company acknowledges progress in integrating sustainable development into their operations, which aligns with the 'Acknowledged Progress / Achieved' category.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"Against the backdrop of a carbon-neutral economy, we have made green and low-carbon transformation the cornerstone of our strategic development in 2023 and insisted on the close integration of environmental responsibility and business development.","4, 5","The company has a forward-looking commitment to a green and low-carbon transformation, which aligns with the 'Net-Zero or Carbon-Neutral Target' category. | The company has a detailed plan for integrating environmental responsibility and business development, which aligns with the 'Detailed Plan or Roadmap' category.",,,China_Vanke_2023_China_Vanke_2023_classification.csv,3
China_Vanke,2023,"In 2023, our ESG performance garnered extensive recognition from rating and index agencies globally.",,,3,"The company acknowledges progress in their ESG performance, which aligns with the 'Acknowledged Progress / Achieved' category.",China_Vanke_2023_China_Vanke_2023_classification.csv,1
China_Vanke,2023,"The Company set key ESG targets covering greenhouse gas emissions, waste management, and resource use.",3,"The company has specific numeric targets for greenhouse gas emissions, waste management, and resource use, which aligns with the 'Specific Numeric Target' category.",5,"The company has updated or extended their commitments to include specific ESG targets, which aligns with the 'Updated/Extended Commitments' category.",China_Vanke_2023_China_Vanke_2023_classification.csv,5
