Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
AG_Real_Estate,2021,"We believe we have the power to make a real difference not only by expanding our range of sustainable products and by investing in a way that generates a return for our customers and has a positive impact on society and the environment. But also, by creating a great place to grow for our employees and by engaging in initiatives to reduce our environmental footprint.",2,"The company expresses a high-level commitment to sustainability, including expanding sustainable products, investing sustainably, and reducing its environmental footprint.",,
AG_Real_Estate,2021,"2021 was again a challenging time where we had to live with the effects of the Covid-19 pandemic and were confronted with the largest flooding in the history of AG. It was again a test of resilience for individuals and organisations. And I can proudly say that we succeeded in finding solutions for our clients, to speed up our processes even if we are aware that not everything is closed yet.",,,3,"The company acknowledges progress in dealing with the challenges of 2021, including the Covid-19 pandemic and flooding."
AG_Real_Estate,2021,"We know there is no alternative. If we want to earn a place on earth, we must act now. We are being faced with the consequences of climate change; we saw the effects at home when the devastating floods of July claimed lives and caused material damage of more than two billion euros.",2,"The company expresses a high-level commitment to act on climate change, in response to the devastating effects of flooding.",,
AG_Real_Estate,2021,9 billion euros invested in assets contributing to the transition towards a more sustainable world,3,The company has a specific numeric target for investing in assets that contribute to sustainability.,,
AG_Real_Estate,2021,CO2 Neutral 7.075 ton CO2e emissions,4,"The company has achieved CO2 neutrality, a specific form of a net-zero or carbon-neutral target.",,
AG_Real_Estate,2021,Explicit inclusion of sustainability in AG strategy,5,"The company has a detailed plan or roadmap for sustainability, as part of its overall strategy.",,
AG_Real_Estate,2021,Signing of the UNEP-FI’s Principles for Sustainable Insurance (UN PSI),6,"The company has made a commitment to an external framework, the UNEP-FI’s Principles for Sustainable Insurance.",,
AG_Real_Estate,2021,"Lastly, we have a duty as a responsible company to limit our environmental footprint. Today we are already CO2 neutral by offsetting our emissions. Naturally, we want to continue this trend and we want to reduce our ecological footprint in line with the European Green Deal ambitions.","2, 4","The company makes a generic commitment to continue reducing its environmental footprint. | The company states that it is already CO2 neutral, indicating a commitment to a net-zero or carbon-neutral target.",3,"The company acknowledges progress towards its commitment, stating that it is already CO2 neutral."
AG_Real_Estate,2021,"In the long term, by 2050, we aim for our investment portfolio to include only net-zero carbon assets.","3, 4",The company sets a specific numeric target for its investment portfolio to include only net-zero carbon assets by 2050. | The company's target for its investment portfolio to include only net-zero carbon assets by 2050 indicates a commitment to a net-zero or carbon-neutral target.,,
AG_Real_Estate,2021,"In 2018, we decided to support the UN Sustainable Development Goals (SDGs).",6,The company's decision to support the UN Sustainable Development Goals indicates a commitment to a science-based or external framework.,2,"The company mentions a past commitment to support the UN Sustainable Development Goals, but the status of this commitment is unknown."
