Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Brookfield_Asset_Management,2023,"Net zero by 2050 or sooner ambition across Operationally Managed investments1, and target to reduce emissions by at least 50% across $263B of AUM by 2030","3, 4","This statement includes a specific numeric target for reducing emissions by at least 50% across a certain amount of assets under management by 2030. | The company has a net-zero target by 2050 or sooner, which is a specific type of carbon-neutral target.",,
Brookfield_Asset_Management,2023,"Commissioned 57% of new clean energy capacity in 2023, totaling ~8,000 MW since 2021",,,3,"This statement acknowledges progress towards a past commitment, as it mentions the commissioning of new clean energy capacity in 2023."
Brookfield_Asset_Management,2023,"10.5 GW of new renewable energy capacity to be delivered to Microsoft in the U.S. and Europe between 2026 and 2030, announced in a first of its kind agreement",3,This statement includes a specific numeric target for delivering new renewable energy capacity to Microsoft between 2026 and 2030.,,
Brookfield_Asset_Management,2023,"We are members of the IFRS Sustainability Alliance (IFRS), a global Sustainability Governance initiative since 2021 and are committed to supporting the ambition of achieving net-zero GHG emissions by 2050 or sooner, emphasizing our alignment with the Paris Agreement.",4,The company has a net-zero or carbon-neutral target.,,
Brookfield_Asset_Management,2023,"In 2021, we became supporters of the Task Force on Climate-related Financial Disclosures (TCFD).",2,The company has a generic/high-level commitment to support TCFD.,2,"The company mentions a past commitment to support TCFD, but the status is unknown."
Brookfield_Asset_Management,2023,"We have been signatories to the Principles for Responsible Investment (PRI) since 2020, which reinforces our long-standing commitment to responsible investment and sustainability best practices.",2,The company has a generic/high-level commitment to responsible investment and sustainability best practices.,3,The company acknowledges progress/achievement of being signatories to the PRI since 2020.
Brookfield_Asset_Management,2023,"In 2023, our reporting real estate entities achieved an average global GRESB score of 86% in the Standing Investments Benchmark, a five-point year-over-year increase and an average score of 92% in the Development Benchmark, a two-point year-over-year increase.",,,3,The company acknowledges progress/achievement in improving their GRESB scores.
Brookfield_Asset_Management,2023,"We are committed to upholding strong practices to monitor and oversee our business, including our overall approach to sustainability.",2,"The company has a generic/high-level commitment to uphold strong practices to monitor and oversee their business, including their approach to sustainability.",,
Brookfield_Asset_Management,2023,The Net Zero Steering Committee oversees Brookfield’s decarbonization strategy and initiatives.,4,This statement refers to a Net-Zero or Carbon-Neutral Target commitment.,,
Brookfield_Asset_Management,2023,"Net Zero Operational Committee: This group comprises functional, sector and technical experts across the organization with a mandate to execute the priorities set out by the Net Zero Steering Committee.",5,This statement refers to a Detailed Plan or Roadmap for achieving the company's net-zero target.,,
Brookfield_Asset_Management,2023,We seek to embed material sustainability considerations and evaluate risks and opportunities related to sustainability and its implications for value creation opportunities throughout Brookfield our investment process.,2,This statement refers to a Generic/High-Level Commitment to sustainability.,,
Brookfield_Asset_Management,2023,"As part of investment due diligence1, Brookfield seeks to assess sustainability-related opportunities and risks and factor them into the overall investment decision.",2,This statement refers to a Generic/High-Level Commitment to sustainability in the investment process.,,
Brookfield_Asset_Management,2023,"Management teams regularly report to their respective boards of directors from both financial and operating perspectives, including key performance indicators that incorporate material sustainability factors, such as health and safety, environmental management, compliance with regulatory requirements, and, increasingly, GHG emissions.",2,This statement refers to a Generic/High-Level Commitment to sustainability reporting.,3,This statement refers to Acknowledged Progress / Achieved in terms of sustainability reporting.
Brookfield_Asset_Management,2023,We adhere to a robust risk management framework and methodology that is designed to enable comprehensive and consistent management of risk across the organization.,2,"This statement refers to a high-level commitment to manage risk, including climate-related risk, across the organization.",,
Brookfield_Asset_Management,2023,"We will continue to consider ways to further integrate climate-related considerations into our risk management processes for these investment types, including the incorporation of our own learnings and best practices.",5,This statement refers to a future plan to further integrate climate-related considerations into risk management processes.,,
Brookfield_Asset_Management,2023,"We consider climate-related risks and opportunities over three time periods (short, medium and long-term), as the nature of these risks and opportunities can differ depending on the time period considered.",5,This statement refers to a detailed plan to consider climate-related risks and opportunities over different time periods.,,
Brookfield_Asset_Management,2023,"Our assessment of climate-related risks and opportunities is integrated into our overall risk management process, which is used to inform a holistic view of our risk profile and mitigation strategies.",5,This statement refers to a detailed plan to integrate the assessment of climate-related risks and opportunities into the overall risk management process.,,
Brookfield_Asset_Management,2023,"We will continue to focus on enhancing our climate risk management processes and consider ways to further engage with our portfolio companies and, as such, our approach to risk management and reporting may change over time.",5,This statement refers to a future plan to enhance climate risk management processes and potentially change the approach to risk management and reporting.,,
Brookfield_Asset_Management,2023,"While climate-related risks and opportunities will generally vary based on the nature of a business, we view GHG emissions as a potential source of transition risk for all of our portfolio companies.",2,This statement refers to a high-level commitment to view GHG emissions as a potential source of transition risk for all portfolio companies.,,
