Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
China_Overseas_Property_Holdings_Limited,2023,"The China Overseas Centre (Wuhan), managed by COPL, stands as the first-ever LEED v4.1 Gold-certified landmark supergrade-A building in Wuhan’s Central Business District. This premier office structure champions eco-friendly and energy-efficient features across its landscaping, facade, energy systems, parking, and accessibility, underscoring a commitment to sustainable, people-focused practices.",2,"This statement refers to a high-level commitment to sustainable practices, as evidenced by the LEED v4.1 Gold certification of the China Overseas Centre.",3,"The statement acknowledges progress towards sustainability goals, as the China Overseas Centre has achieved LEED v4.1 Gold certification."
China_Overseas_Property_Holdings_Limited,2023,"Concurrently, China’s commitment to achieving its “Dual Carbon” goals and advancing ESG (Environmental, Social, and Governance) initiatives has markedly strengthened.",2,This statement refers to a high-level commitment to achieving 'Dual Carbon' goals and advancing ESG initiatives.,,
China_Overseas_Property_Holdings_Limited,2023,"During the Year, through project renovation, energy conservation and emission reduction related work, greenhouse gas emission density, waste density, energy usage density, and water usage density continued to decrease.",,,3,"This statement acknowledges progress towards past commitments, as it mentions a decrease in greenhouse gas emission density, waste density, energy usage density, and water usage density."
China_Overseas_Property_Holdings_Limited,2023,"Moreover, COPL cooperated with a professional institution to carry out carbon auditing work on the projects under management where the Group has the right to operate and manage.",2,This statement refers to a high-level commitment to carbon auditing.,3,"This statement acknowledges progress towards past commitments, as it mentions the completion of carbon auditing work."
China_Overseas_Property_Holdings_Limited,2023,"Looking forward, COPL is set to adhere the original intension of “Serving Whole-Heartedly Every Single Day”and. revitalise the “No. 1 Butler” gilded signboard. COPL will actively respond to national policies, formulate and follow relevant standards, and steadily promote the long-term goals of sustainable development.",2,This statement refers to a high-level commitment to sustainable development and adherence to national policies and standards.,,
China_Overseas_Property_Holdings_Limited,2023,"As a forerunner in the industry, COPL integrates sustainable development into its business operations and actively searches for opportunities throughout its sustainability journey, committed to creating long-term value for stakeholders.",2,This statement refers to a high-level commitment to sustainable development and creating long-term value for stakeholders.,,
China_Overseas_Property_Holdings_Limited,2023,"This Year, COPL has completed its first carbon audit for projects under management and professional subsidiaries on Scope 1 and Scope 2 greenhouse gas emissions.",,,3,"This statement refers to a past commitment, specifically an action that has been completed (carbon audit)."
China_Overseas_Property_Holdings_Limited,2023,"During the Year, the Company has advanced its discussions on setting ESG-related goals.",2,"This statement refers to a forward-looking commitment, specifically a high-level commitment to set ESG-related goals.",,
China_Overseas_Property_Holdings_Limited,2023,Progress has been made in effectively evaluating the reliability and completeness of our internal sustainability data.,,,3,"This statement refers to a past commitment, specifically progress made in evaluating sustainability data."
China_Overseas_Property_Holdings_Limited,2023,"This initiative is aimed at building our internal capacity to establish quantifiable, comparable, and actionable sustainability indicators and targets for the future.",5,"This statement refers to a forward-looking commitment, specifically a detailed plan to build internal capacity for sustainability indicators and targets.",,
China_Overseas_Property_Holdings_Limited,2023,The Group commits to annually reporting its efforts and achievements in sustainability through an independent report.,2,"This statement refers to a forward-looking commitment, specifically a high-level commitment to annually report sustainability efforts and achievements.",,
China_Overseas_Property_Holdings_Limited,2023,"A company committing to becoming an overall solution service provider for smart Xinghai Wulian parks to provide the whole value chain services with a focus on IoT mid platform, intelligent hardware and artificial intelligence technology.",2,"This statement shows a high-level commitment to becoming a solution service provider, but does not specify any carbon emissions targets.",,
China_Overseas_Property_Holdings_Limited,2023,"COPL is committed to enhancing its sustainability governance structure and effectively promoting sustainable development works across all its operating regions, with the aim of continuously improving its sustainability governance level.",2,"This statement shows a high-level commitment to enhancing sustainability governance and promoting sustainable development, but does not specify any carbon emissions targets.",,
China_Overseas_Property_Holdings_Limited,2023,"Sustainable development is essential for creating long-term value in COPL’s operations. We prioritize our stakeholders and our business framework, steadfastly fulfilling our social responsibilities while actively exploring business models that align with the principles of sustainability.",2,"This statement shows a high-level commitment to sustainable development and exploring sustainable business models, but does not specify any carbon emissions targets.",,
China_Overseas_Property_Holdings_Limited,2023,"Concurrently, significant progress was made in advancing “Dual Carbon” initiatives.",3,"This statement refers to specific 'Dual Carbon' initiatives, indicating a specific numeric target related to carbon emissions.",3,This statement acknowledges progress made in the past towards 'Dual Carbon' initiatives.
China_Overseas_Property_Holdings_Limited,2023,COPL conducted its first assessment of Scope 1 and Scope 2 greenhouse gas emissions across all properties and professional platform companies within the Group.,5,This statement refers to a detailed plan or roadmap for assessing greenhouse gas emissions.,3,This statement acknowledges progress made in the past towards assessing greenhouse gas emissions.
China_Overseas_Property_Holdings_Limited,2023,The Group has identified five priority United Nations Sustainable Development Goals (“UNSDGs”) and integrated them into its daily operations.,6,"This statement shows a commitment to external frameworks, specifically the United Nations Sustainable Development Goals.",,
