Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
China_Vanke,2023,Vanke has long been committed to promoting green and low-carbon development and leading the industry.,2,This statement shows a high-level commitment to green and low-carbon development.,,
China_Vanke,2023,Vanke has never ceased to explore green and low-carbon development.,2,This statement shows a high-level commitment to green and low-carbon development.,3,This statement acknowledges progress in exploring green and low-carbon development.
China_Vanke,2023,The Proportion of Property Green Building exceeded 48%,,,3,This statement acknowledges progress in achieving a specific target of green building proportion.
China_Vanke,2023,The Ratio of Housing Industrialisation Projects to New Construction Projects 90%,,,3,This statement acknowledges progress in achieving a specific target of housing industrialisation projects to new construction projects.
China_Vanke,2023,"This report contains forward-looking statements, including but not limited to words or phrases, such as “will”, “expects”, “forecasts”, “future”, “aims”, “estimates”, “plans”, “believes”, “potential”, “continues”, “continuous”, “objective”, “purpose”, and “possible”.",2,This statement indicates a generic/high-level commitment to future sustainability efforts.,,
China_Vanke,2023,We have proactively embraced policies for carbon peaking and carbon neutrality and aligned ourselves with the UN SDGs as we march towards sustainable development.,4,"The company has a forward-looking commitment to carbon neutrality, which aligns with the 'Net-Zero or Carbon-Neutral Target' category.",,
China_Vanke,2023,"In 2023, we continued to forge ahead in compliant operation and integrate sustainable development into every detail of our operations.",2,"The company has a high-level commitment to integrate sustainable development into their operations, which aligns with the 'Generic/High-Level Commitment' category.",3,"The company acknowledges progress in integrating sustainable development into their operations, which aligns with the 'Acknowledged Progress / Achieved' category."
China_Vanke,2023,"Against the backdrop of a carbon-neutral economy, we have made green and low-carbon transformation the cornerstone of our strategic development in 2023 and insisted on the close integration of environmental responsibility and business development.","4, 5","The company has a forward-looking commitment to a green and low-carbon transformation, which aligns with the 'Net-Zero or Carbon-Neutral Target' category. | The company has a detailed plan for integrating environmental responsibility and business development, which aligns with the 'Detailed Plan or Roadmap' category.",,
China_Vanke,2023,"In 2023, our ESG performance garnered extensive recognition from rating and index agencies globally.",,,3,"The company acknowledges progress in their ESG performance, which aligns with the 'Acknowledged Progress / Achieved' category."
China_Vanke,2023,"The Company set key ESG targets covering greenhouse gas emissions, waste management, and resource use.",3,"The company has specific numeric targets for greenhouse gas emissions, waste management, and resource use, which aligns with the 'Specific Numeric Target' category.",5,"The company has updated or extended their commitments to include specific ESG targets, which aligns with the 'Updated/Extended Commitments' category."
China_Vanke,2023,"The Shanghai Fengxian Lingang Logistics Park, VX Logistics’s first pilot park of carbon management platform, opened on 18 April 2023. It is the first logistics park in China to be certified as a net-zero carbon building project under the net-zero carbon building certification system of TÜV Rheinland and the Building Research Establishment (“BRE”).",4,"This statement refers to a specific commitment to achieve net-zero carbon emissions for a specific project, which is a forward-looking commitment.",3,"This statement also refers to a past commitment, as the park has already been opened and certified as a net-zero carbon building project."
China_Vanke,2023,"VX Logistics formulated the Guide to LEED Standardised Design to ensure that parks met green building requirements. It improved energy saving and consumption reduction in park operations, and promoted 100% green warehouse certification and 100% coverage of distributed photovoltaics for all new cold storage.",5,"This statement refers to a detailed plan or roadmap for achieving energy savings and consumption reduction in park operations, as well as promoting green warehouse certification and photovoltaic coverage.",3,"This statement also refers to a past commitment, as the company has already formulated the Guide to LEED Standardised Design and implemented measures to improve energy saving and consumption reduction."
China_Vanke,2023,The Shanghai Fengxian Lingang Logistics Park of VX | Creating the First Pilot Park of Carbon Management Platform,4,"This statement refers to a specific commitment to create a pilot park of carbon management platform, which is a forward-looking commitment.",3,"This statement also refers to a past commitment, as the park has already been created."
China_Vanke,2023,Port Apartment actively responds to the national policy by participating in the construction and operations of affordable rental housing through multiple channels and methods.,2,This statement refers to a generic/high-level commitment to participate in the construction and operations of affordable rental housing.,3,"This statement also refers to a past commitment, as the company has already started participating in the construction and operations of affordable rental housing."
China_Vanke,2023,"Vanke NEXUS Nature, Energy, Xanadu, Units, and Society in Jiading, Shanghai, represents the culmination of Vanke’s exploration, research, and implementation of a sustainable development model for a future city.",2,This statement refers to a high-level commitment to sustainability and low-carbon innovation.,,
China_Vanke,2023,"Through a range of technical measures, including building energy conservation, renewable energy utilisation, water conservation, and solid waste recycling, Vanke strives to transform NEXUS in Jiading, Shanghai, into a globally low-carbon and partially near-zero-carbon community, allowing for a carbon emission reduction of 31% and 40%, respectively.","3, 5",This statement refers to a specific numeric target for carbon emission reduction. | This statement outlines a detailed plan or roadmap for achieving the stated carbon reduction targets.,,
China_Vanke,2023,"In addition, the NEXUS project has been included in multiple international and domestic technical demonstration projects, including the Sino-Swiss Zero Carbon Building Demonstration Project jointly initiated by the Ministry of Housing and Urban-Rural Development of China and the Swiss Agency for Development and Cooperation (“SDC”) and two national key R&D programmes in the “14th Five-Year Plan” period, specifically, Chunxi (Market), as a pilot project for the “Zero-Carbon Building Control Indicators and Research and Application of Key Technologies” project included in the national “14th Five-Year Plan”, is one of China’s first near-zero-carbon buildings.","4, 6","This statement refers to a net-zero or carbon-neutral target. | This statement refers to a commitment to a science-based or external framework, specifically the Sino-Swiss Zero Carbon Building Demonstration Project and the national “14th Five-Year Plan”.",,
China_Vanke,2023,"Vanke aims to promote digital applications for individual low-carbon behaviours through its NEXUS project in Jiading, Shanghai.",2,This statement refers to a high-level commitment to promoting low-carbon behaviours.,,
China_Vanke,2023,"Since 2021, Vanke Hotel and Resort BU have implemented zero-waste management principles and formulated the Zero-waste Hotel Management System, which incorporates the zero-waste philosophy into rules and assigns responsibilities to specific positions, making zero-waste tasks a part of responsibilities.",3,This statement refers to a specific commitment made by Vanke Hotel and Resort BU to implement zero-waste management principles and formulate a Zero-waste Hotel Management System.,,
China_Vanke,2023,"In 2023, 11 hotels implemented self-examination and specialised management by applying design and operation guidelines and self-assessment checklists to achieve full coverage of zero-waste management.",5,This statement refers to a detailed plan or roadmap for implementing zero-waste management across 11 hotels.,3,This statement acknowledges progress made towards achieving full coverage of zero-waste management across 11 hotels.
China_Vanke,2023,We have issued guidelines or policies related to zero-waste office and conducted publicity and training sessions to guide employees to change their perceptions of waste.,2,This statement refers to a generic/high-level commitment to issue guidelines or policies related to zero-waste office and conduct publicity and training sessions.,,
China_Vanke,2023,"By the end of the reporting period, Vanke Service had made continuous progress under the guidance of the “Spring Mud Action”. Over 200 residential communities nationwide have achieved sustainable management of organic waste and soil improvement to date.",,,3,This statement acknowledges progress made under the “Spring Mud Action” towards achieving sustainable management of organic waste and soil improvement in over 200 residential communities.
China_Vanke,2023,"The Vanke Foundation has initiated the “VCS1 Methodology Development for Black Soldier Fly Treatment of Organic Waste” project. The project aims to provide guidance for relevant project developers in determining project boundaries, setting baselines, assessing additionality, and quantifying the reduced or eliminated greenhouse gas emissions, thereby enhancing industry and public understanding of the carbon emission reduction potential in the field of black soldier fly treatment of organic waste.",5,This statement refers to a detailed plan or roadmap for the “VCS1 Methodology Development for Black Soldier Fly Treatment of Organic Waste” project.,,
China_Vanke,2023,"Vanke, in 2023, formulated the sustainability strategy, centred on the three major strategic directions of operational, environmental, and social practices, focused on seven development fields and 10 material strategic issues, and promoted the orderly implementation of 24 goals and actions, in a combination of its business and operational practices.",5,"This statement refers to a detailed plan or roadmap for sustainability, including specific goals and actions.",,
China_Vanke,2023,The sustainable development strategy will guide Vanke to gradually push forward high-quality sustainable development.,2,This statement refers to a generic/high-level commitment to sustainable development.,,
China_Vanke,2023,"Promote green and low-carbon transformation with Vanke’s power, provide quality products and services with Vanke’s commitment, and create a sustainable future with Vanke’s influence.",2,This statement refers to a generic/high-level commitment to green and low-carbon transformation.,,
China_Vanke,2023,Vanke has constantly reviewed its sustainability performance and continuously consolidated the ESG whole-procedure management system.,,,3,This statement acknowledges progress in reviewing sustainability performance and consolidating the ESG management system.
China_Vanke,2023,"In the management process of investment and M&A, sustainable development factors such as soil quality testing, environmental protection compliance, social security compliance, and safety production are taken into consideration in the assessment.",2,This statement refers to a generic/high-level commitment to consider sustainable development factors in investment and M&A processes.,,
China_Vanke,2023,"Integrate comprehensive sustainability-related risks, such as climate risk, into enterprise risk management.",2,This statement refers to a generic/high-level commitment to integrate sustainability-related risks into enterprise risk management.,,
China_Vanke,2023,"In 2023, we conducted 10 training sessions on sustainability for the management and employees of our headquarters, BGs, and BUs, covering issues related to sustainable development trends, management of material issues and data management, to enhance employees’ participation and awareness of sustainable development.",,,3,This statement acknowledges progress in conducting training sessions on sustainability.
China_Vanke,2023,"In order to implement sustainable development, Vanke has formulated the following policies related to sustainable development, which are disclosed on the official website: Vanke Group Environmental Protection Policy, Vanke Group Water Resources Policy, Vanke Group Climate Change Policy, Vanke Group Biodiversity Policy.",3,This statement refers to specific numeric targets in the form of formulated policies related to sustainable development.,,
China_Vanke,2023,"With the changes in regulatory requirements and reporting standards in 2023, we identified seven focus fields based on Vanke’s business development practice, and further defined 10 strategic issues from 26 ESG material issues and planned key actions for them.",5,"This statement refers to a detailed plan or roadmap for addressing ESG issues, including carbon emissions.",,
China_Vanke,2023,Identifying opportunities brought about by climate change Setting management metrics and targets for climate change response,3,This statement refers to a specific numeric target for managing climate change response.,,
China_Vanke,2023,Continuing to promote the assessment of biodiversity and ecological protection in the environmental impact assessment report of newly acquired land,2,This statement refers to a generic/high-level commitment to promote biodiversity and ecological protection.,,
China_Vanke,2023,Continuously promoting the energy-saving and consumption-reducing transformation of facilities and equipment,2,This statement refers to a generic/high-level commitment to promote energy efficiency.,,
