Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Country_Garden_Holdings,2022,RESPONSIBILITY: PROMOTING CARBON NEUTRALITY AND FULFILLING CORPORATE RESPONSIBILITY,4,This statement refers to a forward-looking commitment to promote carbon neutrality.,,
Country_Garden_Holdings,2022,Contributing to Carbon Neutrality with Venture Capital: Green Investment and Industrial Incubation,5,This statement refers to a detailed plan or roadmap for contributing to carbon neutrality through green investments and industrial incubation.,,
Country_Garden_Holdings,2022,A green urban future: A naturally-friendly city with resilience and carbon neutrality,4,This statement refers to a forward-looking commitment to create a carbon-neutral city.,,
Country_Garden_Holdings,2022,Country Garden has set environmental performance-related targets as per the requirements of the ESG Reporting Guide.,3,This statement refers to a specific numeric target set for environmental performance.,2,This statement refers to a past commitment to set environmental performance-related targets.
Country_Garden_Holdings,2022,We established Bright Dream Robotics to develop smart construction robots and enhance intelligent level in engineering construction.,5,This statement refers to a detailed plan or roadmap for developing smart construction robots to enhance the level of intelligence in engineering construction.,,
Country_Garden_Holdings,2022,We established Country Garden Agriculture to apply cutting-edge unmanned equipment to advance Chinese agriculture.,5,This statement refers to a detailed plan or roadmap for advancing Chinese agriculture through the application of cutting-edge unmanned equipment.,,
Country_Garden_Holdings,2022,"Under the guidance of the national “dual carbon goals”, all walks of life are actively arranging for green transformation. As a representative of real estate enterprises, Country Garden has taken the lead in setting an example, vigorously implementing policies from the dimensions of green construction, green building, green engineering, green operation, etc.",2,This statement shows a high-level commitment to green transformation in line with national 'dual carbon goals'.,,
Country_Garden_Holdings,2022,"We practice green carbon reduction through green smart construction, green investment, etc., in the hope of contributing our own share in propelling the society to put in place the sustainable development strategy.",2,This statement shows a high-level commitment to green carbon reduction through various strategies.,,
Country_Garden_Holdings,2022,"As a responsible enterprise, Country Garden is committed to promoting our national “dual carbon goals”.",2,This statement shows a high-level commitment to promoting national 'dual carbon goals'.,,
Country_Garden_Holdings,2022,We strive to help achieve “carbon neutrality”.,4,This statement shows a commitment to achieving carbon neutrality.,,
Country_Garden_Holdings,2022,"With the continuous advancement of the national “dual carbon goals” work, the traditional energy structure and industrial structure have been gradually adjusted, and the economic development has also begun to move towards green transformation.",2,This statement shows a high-level commitment to green transformation in line with national 'dual carbon goals'.,,
Country_Garden_Holdings,2022,"In 2022, Country Garden Venture Capital made significant investments in carbon neutrality",3,This statement shows a specific numeric target of making significant investments in carbon neutrality in 2022.,3,This statement acknowledges progress towards carbon neutrality through significant investments made in 2022.
