Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Hines,2019,It was through Dad’s desire for better workspaces and more efficient operations that we began creating buildings that are better for people and the planet.,2,"This statement refers to a high-level commitment to creating better, more efficient buildings.",2,This statement refers to a past commitment to create better workspaces and more efficient operations.
Hines,2019,"Our history is both relevant and informative as we navigate a changing world, and our sustainability vision will continue to be bold, while remaining true to our values and delivering returns to our investors and partners.",2,This statement refers to a high-level commitment to continue a bold sustainability vision.,5,"This statement refers to an updated commitment to sustainability, based on the company's history."
Hines,2019,Integrating sustainability into everything we do will help us get there.,2,This statement refers to a high-level commitment to integrate sustainability into all operations.,,
Hines,2019,"Since our beginning, Hines has valued and pioneered sustainability in the built environment.",,,3,This statement acknowledges progress in pioneering sustainability in the built environment.
Hines,2019,We continuously strive to further Dad’s legacy of bringing value to people and communities through a built environment that meets the needs of the present and anticipates those of the future.,2,This statement refers to a high-level commitment to continue striving for a sustainable built environment.,5,This statement refers to an updated commitment to continue the legacy of bringing value through a sustainable built environment.
Hines,2019,Sustainability has always been integral to the way we do business at Hines.,,,3,This statement acknowledges progress in integrating sustainability into the business.
Hines,2019,"Today, we prioritize social and environmental impacts and outcomes that deliver the most value to our stakeholders, our firm, and the planet, and we’ve formalized a sustainability policy to guide our work.",5,This statement refers to a detailed plan or roadmap in the form of a formalized sustainability policy.,5,This statement refers to an updated commitment to prioritize social and environmental impacts.
Hines,2019,Hines is committed to fostering an inclusive culture where diversity is respected and valued.,2,"This statement is a high-level commitment to fostering an inclusive culture and valuing diversity, but it does not provide specific numeric targets or a detailed plan.",,
Hines,2019,We will continually strive to be the industry leader in sustainability and the premier real estate company in the world.,2,"This statement is a high-level commitment to sustainability and leadership in the real estate industry, but it does not provide specific numeric targets or a detailed plan.",,
Hines,2019,Hines’ executive leadership makes a firm-wide commitment to pursue LEED certification on all new projects.,3,This statement is a specific numeric target to pursue LEED certification on all new projects.,,
