Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
New_World_Development_Company_Limited,2023,NWD is a signatory/member of,2,"This statement indicates a high-level commitment to sustainability, but does not provide specific details or targets.",,
New_World_Development_Company_Limited,2023,Continued to implement Climate Resilience Guideline to further incorporate climate resilience into assets,5,This statement indicates a detailed plan or roadmap for incorporating climate resilience into assets.,3,This statement acknowledges progress on a past commitment to implement a Climate Resilience Guideline.
New_World_Development_Company_Limited,2023,One of the first companies to purchase carbon credits on the HKEX Core Climate marketplace,,,3,This statement acknowledges progress on a past commitment to purchase carbon credits.
New_World_Development_Company_Limited,2023,New World Group - Halve our environmental impact in energy and carbon emissions intensity (against FY2015 baseline1),3,This statement indicates a specific numeric target for reducing environmental impact and carbon emissions.,,
New_World_Development_Company_Limited,2023,Addressing climate change remains integral to our long-term growth and is a critical area of focus. Reducing our emissions is an important contribution to government action plans to achieve carbon neutrality in Mainland China by 2060 and HKSAR by 2050.,4,"This statement indicates a commitment to a net-zero or carbon-neutral target, in line with government action plans.",,
New_World_Development_Company_Limited,2023,Our approved near-term 1.5°C science-based targets (“SBTs”) cement that ambition and will further accelerate our drive to decarbonise.,6,This statement indicates a commitment to science-based or external framework targets for decarbonisation.,,
New_World_Development_Company_Limited,2023,The Sustainability Committee oversees the Group’s sustainability issues and risks and the delivery of targets.,2,"The statement refers to a high-level commitment to sustainability and target delivery, but does not provide specific details.",,
New_World_Development_Company_Limited,2023,Management reports progress against sustainability goals and targets to the Committee when it meets twice each year.,,,3,The statement refers to the reporting of progress against past sustainability commitments.
New_World_Development_Company_Limited,2023,CEO and employee remuneration are linked to sustainability performance to encourage everyone to contribute to our targets.,2,"The statement refers to a high-level commitment to sustainability, linking it to remuneration, but does not provide specific details.",,
New_World_Development_Company_Limited,2023,"In view of the urgent need for climate action and the Group’s responsibilities to mitigate climate impacts in our operations, the Board fully supports the ongoing assessment and disclosure of the Group’s climate-related risks and opportunities in line with the Task Force on Climate-related Financial Disclosures (“TCFD”) recommendations.",6,"The statement refers to a commitment to follow the TCFD recommendations, which is an external framework.",,
New_World_Development_Company_Limited,2023,Our sustainability commitments and ambitions encourage us to both operate more efficiently and create new business opportunities.,2,"The statement refers to a high-level commitment to sustainability, but does not provide specific details.",,
New_World_Development_Company_Limited,2023,"Goals such as our near-term science-based targets (“SBTs”), which were approved by the Science Based Targets initiative (“SBTi”) in FY2022, focus our innovative efforts to develop new solutions and approaches that result in lower emissions.","3, 6","The statement refers to a specific numeric target for reducing emissions. | The statement refers to a commitment to follow the SBTi, which is an external framework.",3,The statement refers to the achievement of having the SBTs approved by the SBTi in FY2022.
New_World_Development_Company_Limited,2023,"We are determined to reduce the adverse environmental and social impacts of our property operations. Our building operations and resource efficiency measures are refined and enhanced to improve the health and wellbeing of our customers, tenants and users.",2,This statement shows a generic/high-level commitment to reducing environmental and social impacts.,,
New_World_Development_Company_Limited,2023,Climate Change Actions Accelerating Towards Net Zero,4,This statement indicates a net-zero or carbon-neutral target.,,
New_World_Development_Company_Limited,2023,Energy Efficiency and Carbon Reduction Accelerating Towards Net Zero,4,This statement indicates a net-zero or carbon-neutral target.,,
New_World_Development_Company_Limited,2023,"Both 11 SKIES and K11 ATELIER 11 SKIES have earned esteemed green and healthy building credentials, with the retail portion achieving triple Gold pre-certifications through BEAM Plus, LEED, and WELL, and the K11 ATELIER 11 SKIES office towers receiving final Platinum certifications from BEAM Plus and WELL, along with a LEED Platinum pre-certification.",,,3,This statement acknowledges progress/achievement of past commitments.
New_World_Development_Company_Limited,2023,The project is targeting LEED Gold and China Green Building Evaluation Label (Three Star) in recognition of its high-quality sustainable features and initiatives.,3,This statement indicates a specific numeric target.,,
New_World_Development_Company_Limited,2023,"The restored Theatre is targeting triple Platinum certifications from BEAM Plus, LEED and WELL to solidify its sustainability credentials.",3,This statement indicates a specific numeric target.,,
New_World_Development_Company_Limited,2023,"Both are designed to meet high sustainability standards, with the residential building targeting a Gold BEAM Plus rating and the retail and office building targeting Gold or above BEAM Plus, LEED and WELL ratings.",3,This statement indicates a specific numeric target.,,
New_World_Development_Company_Limited,2023,"With our conservation project, the State Theatre will return once again as a culture and arts landmark with more riveting stories to tell.",2,"This statement refers to a high-level commitment to a conservation project for the State Theatre, but does not provide specific numeric targets or a detailed plan.",,
New_World_Development_Company_Limited,2023,This robotic innovation contributes to NWD’s sustainability goals and our commitment to develop smart technologies that enhance customer experience.,2,"This statement refers to a high-level commitment to sustainability and smart technology development, but does not provide specific numeric targets or a detailed plan.",,
New_World_Development_Company_Limited,2023,"This initiative highlights our commitment to decarbonisation through innovation, exploring new solutions and supporting new businesses.",2,"This statement refers to a high-level commitment to decarbonisation and innovation, but does not provide specific numeric targets or a detailed plan.",,
New_World_Development_Company_Limited,2023,NWD is committed to reducing the environmental impact of our buildings and enhancing the health and wellbeing of their users.,2,"This statement refers to a high-level commitment to reducing environmental impact and enhancing health and wellbeing, but does not provide specific numeric targets or a detailed plan.",,
New_World_Development_Company_Limited,2023,"NWD utilises sustainable finance to fund projects that aim to improve the environmental performance and social impact of our buildings and landscapes, creating value with our financial partners.",2,"This statement refers to a high-level commitment to using sustainable finance for environmental and social impact projects, but does not provide specific numeric targets or a detailed plan.",,
New_World_Development_Company_Limited,2023,"As at 30 June 2023, 100% of green bond and green loan proceeds have been allocated to green buildings in Hong Kong and Mainland China that meet the eligibility criteria of our sustainable financing frameworks.",5,This statement refers to a detailed plan or roadmap for allocating proceeds from green bonds and loans to sustainable projects.,3,"This statement acknowledges progress towards a past commitment, as it mentions that 100% of the proceeds have been allocated as planned."
New_World_Development_Company_Limited,2023,Social bond proceeds will be allocated to eligible projects in accordance with the terms of the offer documents.,2,This statement refers to a generic or high-level commitment to allocate social bond proceeds to eligible projects.,,
New_World_Development_Company_Limited,2023,We are committed to managing our impacts on the climate and the changing climate’s impact on our business. Our Climate Change Policy guides how we manage climate-related risks and opportunities in our operations and states our “no coal” commitment. We have received approval of near-term SBTs with the 1.5°C pathway and have committed to SBTi’s Net-Zero Standard.,"4, 6","This statement refers to a net-zero or carbon-neutral target, as it mentions a commitment to the SBTi's Net-Zero Standard. | This statement refers to a science-based or external framework commitment, as it mentions approval of near-term SBTs with the 1.5°C pathway.",,
New_World_Development_Company_Limited,2023,"We have integrated ESG and climate-related risks into the Group’s ERM framework. By embedding climate risks into our robust risk management process, we assess, monitor and manage climate risks through the Group and all BUs.",5,This statement refers to a detailed plan or roadmap for integrating ESG and climate-related risks into the Group's ERM framework.,,
New_World_Development_Company_Limited,2023,Incorporated key aspects of the Climate Resilience Guideline into Storm surge,2,This statement refers to a high-level commitment to incorporate aspects of a Climate Resilience Guideline.,,
New_World_Development_Company_Limited,2023,"Increased market valuation due to adoption of Responsible Investment Policy, Climate Change Policy, Sustainable climate resilience measures Procurement Policy and Sustainable Building Policy to standardise implementation",2,This statement refers to a high-level commitment to adopt various policies related to climate change and sustainability.,3,This statement acknowledges progress in increasing market valuation due to the adoption of various policies.
New_World_Development_Company_Limited,2023,Building organisational understanding of laws and regulations (including HKEX climate disclosure obligations) associated with climate-related risks and opportunities for our industry,2,This statement refers to a high-level commitment to build organisational understanding of laws and regulations related to climate change.,,
New_World_Development_Company_Limited,2023,Commenced development of green transition plan for our company,5,This statement refers to a detailed plan or roadmap for a green transition.,3,This statement acknowledges progress in commencing the development of a green transition plan.
New_World_Development_Company_Limited,2023,"Investigated phase-out of carbon-intensive fossil fuels, such as coal and diesel, in operations by adopting alternative energy sources",5,This statement refers to a detailed plan or roadmap to phase out carbon-intensive fossil fuels.,3,This statement acknowledges progress in investigating the phase-out of carbon-intensive fossil fuels.
New_World_Development_Company_Limited,2023,decarbonisation commitment to reach science-based net zero by 2050.,6,This statement refers to a science-based or external framework commitment to reach net zero by 2050.,,
New_World_Development_Company_Limited,2023,This medium timeframe aligns with NWD’s net zero commitment and the Paris Agreement.,4,This statement refers to a net-zero or carbon-neutral target aligned with the Paris Agreement.,5,This statement refers to an updated or extended commitment to align with the Paris Agreement.
