Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
New_World_Development_Company_Limited,2024,"This year, we evolved our sustainability strategy and advanced our sustainability targets to reflect our leadership ambition.",2,This statement refers to a high-level commitment to evolve the company's sustainability strategy and advance their targets.,,
New_World_Development_Company_Limited,2024,"SV2030+ builds on our previous sustainability strategy, New World Sustainability Vision 2030 (""SV2030""), which reached its halfway point in 2024.",5,"This statement refers to a detailed plan or roadmap (SV2030+), which builds on a previous strategy.",3,This statement acknowledges progress on a past commitment (SV2030).
New_World_Development_Company_Limited,2024,"Net Zero Scope 1, 2 & 3 emissions from all assets and operations",4,This statement refers to a net-zero or carbon-neutral target for all emissions from assets and operations.,,
New_World_Development_Company_Limited,2024,"Our focus on the long-term includes having targets that extend beyond 2030, including our 2050 net zero ambitions.",4,This statement refers to a net-zero or carbon-neutral target for 2050.,,
New_World_Development_Company_Limited,2024,"We developed a least-cost 1.5°C-aligned pathway to drive efficiency and decarbonisation for our growing business, prioritising practical steps in emissions reduction.",5,This statement refers to a detailed plan or roadmap for reducing emissions in alignment with a 1.5°C pathway.,,
New_World_Development_Company_Limited,2024,"Since 2018, our New World Sustainability Vision 2030 (""SV2030"") has driven our efforts to realise its green, wellness, smart and caring aspirations.",,,3,This statement acknowledges progress on a past commitment (SV2030).
New_World_Development_Company_Limited,2024,"These years of effort were recently recognised with NWD named in the top 50 of the World’s Most Sustainable Companies of 2024 by TIME Magazine, successfully standing out from over 5,000 assessed companies.",,,3,"This statement acknowledges progress on past sustainability efforts, as recognised by an external entity."
New_World_Development_Company_Limited,2024,"Developed our 1.5°C-aligned Decarbonisation Roadmap, prioritising practical steps to reduce Scope 1 and 2 emissions",5,This statement refers to a detailed plan or roadmap for reducing emissions in alignment with a 1.5°C pathway.,,
New_World_Development_Company_Limited,2024,Navigating the transition to a net zero economy by: Increasing reliance on renewable energy and use of low carbon construction materials,4,"This statement refers to a future commitment to transition to a net zero economy, which is a specific type of carbon emissions commitment.",,
New_World_Development_Company_Limited,2024,"We engaged an external consultant to complete a comprehensive assessment in August 2023 using the double materiality approach to identify the sustainability-related impacts, risks and opportunities (IROs) most important to NWD and our stakeholders.",,,3,"This statement refers to a past commitment to engage an external consultant to conduct a comprehensive assessment of sustainability-related impacts, risks, and opportunities."
