Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Savills_UK,2023,"Savills embraces our responsibility to be ambitious with our decarbonisation efforts. We are proud to share that our Savills PLC near term decarbonisation targets have been approved by the Science Based Targets Initiative (SBTi) which we detail in this report. Separately, we continue to work towards net zero carbon for all three emission scopes by 2040. Before then, Savills UK will continue to work towards operational net zero carbon by 2030 in accordance with World Green Building Council guidance.","4, 3, 6","The company has a net-zero or carbon-neutral target. | The company has a specific numeric target. | The company's targets have been approved by the Science Based Targets Initiative (SBTi), an external framework.",,
Savills_UK,2023,Our sustainability ambitions can be summarised as: Climate: We work to minimise our impact and are committed to reducing our carbon emissions to net zero by 2040.,4,The company has a net-zero or carbon-neutral target.,,
Savills_UK,2023,Reduced our UK greenhouse gas emissions by 25% year on year and 53% compared with our baseline year of 2019,,,3,The company acknowledges progress towards its past commitments.
Savills_UK,2023,"Savills UK is working to achieve net zero carbon by 2040 for all three emission scopes as part of our Group commitment. Prior to this, we are working towards operational net zero carbon by 2030 in accordance with the World Green Building Council’s Net Zero Carbon Buildings Commitment.",4,The company has a net-zero or carbon-neutral target.,,
Savills_UK,2023,Our Savills Plc near-term decarbonisation targets have been approved by the Science Based Targets Initiative (SBTi) and we are committed to reduce absolute scope 1 and 2 greenhouse gas (GHG) emissions by 72% by 2030 compared with a 2019 base year.,"3, 6","The company has a specific numeric target. | The company's targets have been approved by the Science Based Targets Initiative (SBTi), an external framework.",,
Savills_UK,2023,"In 2023, our UK scope 1 and 2 emissions totalled 630 tCO2e which is a 25% year on year reduction and a 53% reduction compared with 2019, demonstrating good progress on our decarbonisation journey.",,,3,The company acknowledges progress towards its past commitments.
Savills_UK,2023,Climate: We work to minimise our impact and are committed to reducing our carbon emissions to net zero by 2040.,4,The company has a specific commitment to reduce their carbon emissions to net zero by 2040.,,
Savills_UK,2023,"From decarbonisation pathways, to sustainable design consultancy, we strive for a sustainable transition.",5,"The company has a detailed plan or roadmap for a sustainable transition, including decarbonisation pathways and sustainable design consultancy.",,
Savills_UK,2023,"Our experts have advised on a range of projects to decarbonise our energy supply including 19.3GW of in development and operational renewable energy generation projects, 2.3GW of energy storage including 0.7 GW of hydrogen and 0.78GW of demand connections including EV charging.",5,"The company has a detailed plan or roadmap for decarbonising their energy supply, including specific projects and targets.",,
Savills_UK,2023,"We recognise the urgency of the climate crisis and engaging our clients with innovative carbon solutions is a key aspect of our net zero commitment. In 2023, we completed over 180 carbon audits in the food and farming sector, produced 51 single-asset net zero pathways and 7 multi-asset net zero pathways.",5,"The company has a detailed plan or roadmap for achieving their net zero commitment, including carbon audits and the development of net zero pathways.",3,"The company acknowledges progress towards their net zero commitment, including the completion of carbon audits and the development of net zero pathways."
