Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Seazen_Group,2023,"In 2023, to practice sustainability, the Group advanced the New Blue Action for green construction management, low-carbon operations, and sustainable development.",2,This statement refers to a high-level commitment to sustainability and low-carbon operations.,,
Seazen_Group,2023,"This year, we advanced the development of green buildings, boasting 42 projects in total qualified for operation and formal certification as green buildings.",3,This statement refers to a specific numeric target for the development of green buildings.,3,This statement acknowledges progress towards a past commitment to develop green buildings.
Seazen_Group,2023,"We commit to appointing at least one female director by 31 December 2024, to cultivate a diverse and inclusive decision management team.",3,This statement refers to a specific numeric target for diversity and inclusion.,,
Seazen_Group,2023,"In 2023, Seazen’s focus on product diversity and business integrity ensured the successful delivery of over 140,000 properties.",,,3,This statement acknowledges progress towards a past commitment to deliver a specific number of properties.
Seazen_Group,2023,"In 2023, the Group recorded a total commercial operating income of RMB 11.3 billion.",,,3,This statement acknowledges progress towards a past financial commitment.
Seazen_Group,2023,"A total investment of 42.02 million yuan has been made in public welfare donations and rural revitalization, promoting shared prosperity with the community and creating multiple benefits for the economy, environment, and social well-being.",,,3,This statement acknowledges progress towards a past commitment to invest in public welfare and rural revitalization.
Seazen_Group,2023,"Dedicated to 2023, our dedication to forging a responsible supply chain saw collaborations with 5,604 green and low-carbon development, we will fulfill our social responsibilities to continually create value for stakeholders.",2,This statement shows a high-level commitment to green and low-carbon development in the future.,,
Seazen_Group,2023,Seazen's 2023 Safety Production Green Construction Coverage Rate for Newly Constructed Projects Total Investment in Work Safety 100% 110.44 million,3,This statement shows a specific numeric target for safety production and green construction coverage rate for newly constructed projects in 2023.,,
Seazen_Group,2023,"For over three decades, Seazen has been steadfast in green development, contributing to a harmony between mankind and nature in action.",,,3,This statement acknowledges progress in green development over the past three decades.
Seazen_Group,2023,"We consistently promote green office, green construction, and green operations to minimize resource consumption",5,"This statement shows a detailed plan or roadmap for promoting green office, green construction, and green operations to minimize resource consumption.",,
Seazen_Group,2023,We analyze the risks and opportunities climate change poses to our business,6,This statement shows a commitment to a science-based or external framework by analyzing the risks and opportunities climate change poses to the business.,,
Seazen_Group,2023,substantively advances our construction industry’s efforts towards achieving peak carbon emissions before 2030 and carbon neutrality by 2060.,"4, 3","This statement refers to a future commitment to achieve carbon neutrality by 2060, which is a specific net-zero target. | The statement also mentions a specific numeric target of achieving peak carbon emissions before 2030.",,
Seazen_Group,2023,"Since the land was secured in 2018, Changge Seazen Jinyuefu has garnered a number of awards at both the provincial and municipal levels, establishing itself as a flagship project in Seazen’s expansion into Central China.",,,3,"This statement refers to past commitments and achievements, indicating that the company has made progress in its sustainability efforts."
Seazen_Group,2023,The project is projected to save achieve a plaza-specific energy-saving rate of 7.23 MWh 45.1% of electricity annually,3,This statement refers to a specific numeric target for energy saving in the future.,,
Seazen_Group,2023,"Looking to 2024, we remain steadfast to a customer-centric approach, placing timely delivery, care for people’s livelihood, and high quality at the forefront of our priorities.",2,"This statement refers to a high-level commitment for the future, but does not specify any numeric targets or detailed plans.",,
Seazen_Group,2023,"The Group is committed to establishing a robust corporate governance system, managing potential risks, upholding integrity and compliance in business operations, safeguarding the interests of stakeholders, and contributing to the stable development of the industry with Seazen’s strength.",2,"This statement refers to a high-level commitment for the future, but does not specify any numeric targets or detailed plans.",,
Seazen_Group,2023,"The Group attaches great importance to gender diversity on the Board of Directors and is committed to appointing at least one female director by 31 December 2024, to create a decision-making and management team that is diverse and inclusive.",3,This statement refers to a specific numeric target for gender diversity in the future.,,
Seazen_Group,2023,"In 2023, the Group actively conducted activities such as the Seazen Integrity Number of directors Coverage rate of anti-corruption Coverage rate of anti-corruption",2,This statement refers to a high-level commitment to conduct anti-corruption activities in the future.,,
Seazen_Group,2023,"In 2023, the Group anti-corruption training completed 17,672",,,3,"This statement refers to a past commitment that has been achieved, specifically the completion of a certain number of anti-corruption training sessions."
Seazen_Group,2023,"By 2025, we will reduce greenhouse gas emissions, energy consumption, and water usage (i.e., emission intensity) per million yuan of urban complex rental and management fee income by 10% (based on the 2020 baseline);",3,"This statement refers to a specific numeric target for reducing greenhouse gas emissions, energy consumption, and water usage by 2025.",,
Seazen_Group,2023,"Promoting the use of renewable energy, and aiming for a rate of over 8% for new Green projects and Wuyue projects by 2024;",3,This statement refers to a specific numeric target for promoting the use of renewable energy in new projects by 2024.,,
Seazen_Group,2023,achieving 100% green building coverage for new projects by 2024;,4,"This statement refers to a net-zero or carbon-neutral target, specifically achieving 100% green building coverage for new projects by 2024.",,
Seazen_Group,2023,Committed to achieving zero work-related injuries and fatalities;,2,This is a high-level commitment to achieving zero work-related injuries and fatalities.,,
Seazen_Group,2023,"We adhere to building safe, disaster-resistant, and sustainable business model",2,"This is a high-level commitment to building a safe, disaster-resistant, and sustainable business model.",,
Seazen_Group,2023,The Company is committed to operating in a way that ensures the health and safety of all its stakeholders in a reasonable and feasible manner;,2,This is a high-level commitment to ensuring the health and safety of all stakeholders.,,
Seazen_Group,2023,"The Company is committed to creating a fair and respectful working environment for all employees, enabling everyone to demonstrate their strengths and become a preferred employer brand;",2,This is a high-level commitment to creating a fair and respectful working environment for all employees.,,
Seazen_Group,2023,The Company supports sustainable development advocates among suppliers and contractors and encourages them to implement similar policies;,2,This is a high-level commitment to supporting sustainable development among suppliers and contractors.,,
Seazen_Group,2023,The Company advocates for responsible use of its products and services by customers;,2,This is a high-level commitment to advocating for responsible use of its products and services by customers.,,
Seazen_Group,2023,The Company reviews this sustainable development policy on a regular basis or at least every three years.,5,This is a detailed plan or roadmap for reviewing the sustainable development policy.,,
Seazen_Group,2023,Actively responding to climate change risks and opportunities,2,This is a high-level commitment to actively responding to climate change risks and opportunities.,,
Seazen_Group,2023,"In recent years, the increasing market demand for better residentialexperienceshaspromptedtherealestatesector to refocus on quality, heralding a new competitive era of productstrength.",2,This statement refers to a high-level commitment to refocus on quality in response to market demand.,,
Seazen_Group,2023,Seazen’s strategy of green and low-carbon development.,2,This statement refers to a high-level commitment to green and low-carbon development.,,
Seazen_Group,2023,Seazen strategizes the new energy business and pioneers development models.,2,This statement refers to a high-level commitment to strategize the new energy business and pioneer development models.,,
Seazen_Group,2023,"Wusheng Energy spans a variety of energy forms—wind, solar, storage, heating, cooling, and electricity, delivering all-encompassing, lifecycle carbon energy solutions.",3,This statement refers to a specific numeric target in terms of the variety of energy forms that Wusheng Energy spans.,,
Seazen_Group,2023,"So far, it has integrated green energy and conducted energy-saving renovations across over 100 commercial complexes nationwide.",,,3,This statement acknowledges progress in integrating green energy and conducting energy-saving renovations across over 100 commercial complexes nationwide.
Seazen_Group,2023,"The Group has set up a dedicated incentive system for product innovation, outlining a clear workflow for declaring achievements, assessing their value, promoting their application, and recognizing honors and rewards.",2,This statement refers to a high-level commitment to product innovation and the establishment of a system to encourage and reward it.,,
